"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"10/06/2016","50,54","51,91","52,10","50,33","210,06K","-2,71%"
"09/06/2016","51,95","52,74","52,86","51,53","213,12K","-1,07%"
"08/06/2016","52,51","51,41","52,80","51,32","260,75K","2,08%"
"07/06/2016","51,44","50,46","51,54","50,28","208,82K","1,76%"
"06/06/2016","50,55","49,83","50,83","49,72","223,76K","1,83%"
"03/06/2016","49,64","49,95","50,33","49,30","227,82K","-0,80%"
"02/06/2016","50,04","49,63","50,30","48,84","270,12K","0,64%"
"01/06/2016","49,72","49,65","50,00","48,65","266,00K","0,06%"
"31/05/2016","49,69","49,70","50,05","49,23","28,69K","-0,14%"
"30/05/2016","49,76","49,43","49,83","48,92","23,09K","0,89%"
"27/05/2016","49,32","49,42","49,55","48,69","130,18K","-0,54%"
"26/05/2016","49,59","49,76","50,51","49,25","221,26K","-0,30%"
"25/05/2016","49,74","49,16","49,96","48,91","237,79K","2,32%"
"24/05/2016","48,61","48,35","49,24","47,80","211,58K","0,54%"
"23/05/2016","48,35","48,72","48,84","47,58","225,09K","-0,76%"
"20/05/2016","48,72","48,90","49,39","48,07","255,58K","-0,18%"
"19/05/2016","48,81","48,67","48,88","47,38","302,10K","-0,25%"
"18/05/2016","48,93","49,36","49,85","48,45","319,81K","-0,71%"
"17/05/2016","49,28","49,03","49,75","48,57","262,32K","0,63%"
"16/05/2016","48,97","47,80","49,47","47,77","294,38K","2,38%"
"13/05/2016","47,83","47,85","48,12","47,26","239,05K","-0,52%"
"12/05/2016","48,08","47,32","48,19","46,80","353,85K","1,01%"
"11/05/2016","47,60","45,59","47,75","44,80","381,74K","4,57%"
"10/05/2016","45,52","43,49","45,70","43,33","343,21K","4,33%"
"09/05/2016","43,63","45,75","46,48","43,43","364,58K","-3,84%"
"06/05/2016","45,37","45,16","46,12","44,19","283,65K","0,80%"
"05/05/2016","45,01","45,08","46,77","44,65","280,79K","0,87%"
"04/05/2016","44,62","45,21","46,01","44,19","293,82K","-0,78%"
"03/05/2016","44,97","45,80","46,40","44,62","276,40K","-1,88%"
"02/05/2016","45,83","47,37","47,40","45,72","168,09K","-4,78%"
"29/04/2016","48,13","47,90","48,50","47,41","29,52K","-0,02%"
"28/04/2016","48,14","47,10","48,19","46,74","113,08K","2,03%"
"27/04/2016","47,18","46,26","47,45","45,63","150,79K","3,15%"
"26/04/2016","45,74","44,69","46,49","44,36","199,24K","2,83%"
