"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation %"
"31/12/2014","0,5410","0,5410","0,5440","0,5400","0,19%"
"30/12/2014","0,5400","0,5450","0,5660","0,5360","-2,17%"
"29/12/2014","0,5520","0,5940","0,6010","0,5420","-6,44%"
"28/12/2014","0,5900","0,5900","0,5900","0,5900","0,00%"
"24/12/2014","0,5900","0,5960","0,5970","0,5900","-0,84%"
"23/12/2014","0,5950","0,6000","0,6040","0,5820","-1,49%"
"22/12/2014","0,6040","0,5960","0,6130","0,5900","1,68%"
"19/12/2014","0,5940","0,6140","0,6350","0,5900","-3,26%"
"18/12/2014","0,6140","0,5970","0,6330","0,5700","3,89%"
"17/12/2014","0,5910","0,5960","0,6050","0,5660","-2,15%"
"16/12/2014","0,6040","0,6280","0,6370","0,5660","-3,97%"
"15/12/2014","0,6290","0,6320","0,6500","0,6220","0,64%"
"14/12/2014","0,6250","0,6250","0,6250","0,6250","-0,16%"
"12/12/2014","0,6260","0,6630","0,6640","0,6180","-8,08%"
"11/12/2014","0,6810","0,6740","0,6850","0,6570","-0,29%"
"10/12/2014","0,6830","0,6950","0,6970","0,6720","-1,30%"
"09/12/2014","0,6920","0,7140","0,7260","0,6880","-3,49%"
"08/12/2014","0,7170","0,7770","0,7890","0,7140","-8,43%"
"05/12/2014","0,7830","0,7490","0,7900","0,7450","1,56%"
"04/12/2014","0,7710","0,7510","0,7870","0,7340","3,07%"
"03/12/2014","0,7480","0,7500","0,7650","0,7340","0,13%"
"02/12/2014","0,7470","0,7540","0,7560","0,7240","2,75%"
"01/12/2014","0,7270","0,6940","0,7300","0,6910","3,41%"
"30/11/2014","0,7030","0,7030","0,7030","0,7030","0,14%"
"28/11/2014","0,7020","0,6990","0,7130","0,6950","-0,28%"
"27/11/2014","0,7040","0,7370","0,7400","0,6970","-4,35%"
"26/11/2014","0,7360","0,7430","0,7580","0,7310","-2,00%"
"25/11/2014","0,7510","0,7750","0,7780","0,7480","-4,09%"
"24/11/2014","0,7830","0,7730","0,7900","0,7650","1,56%"
"21/11/2014","0,7710","0,8000","0,8070","0,7660","-3,75%"
"20/11/2014","0,8010","0,8390","0,8450","0,7900","-5,32%"
"19/11/2014","0,8460","0,7960","0,8550","0,7890","5,49%"
"18/11/2014","0,8020","0,7990","0,8050","0,7810","0,50%"
"17/11/2014","0,7980","0,7740","0,8100","0,7670","1,66%"
"16/11/2014","0,7850","0,7850","0,7850","0,7850","-0,76%"
"14/11/2014","0,7910","0,7980","0,8020","0,7830","-1,25%"
"13/11/2014","0,8010","0,8230","0,8280","0,7880","-1,23%"
"12/11/2014","0,8110","0,8230","0,8240","0,7930","-2,41%"
"11/11/2014","0,8310","0,8430","0,8530","0,8220","0,48%"
"10/11/2014","0,8270","0,8210","0,8280","0,8010","0,24%"
"07/11/2014","0,8250","0,8350","0,8650","0,8230","-0,60%"
"06/11/2014","0,8300","0,8190","0,8580","0,8170","0,48%"
"05/11/2014","0,8260","0,8190","0,8340","0,8140","1,85%"
"04/11/2014","0,8110","0,8400","0,8510","0,8020","-5,70%"
"03/11/2014","0,8600","0,8300","0,8650","0,8110","2,26%"
"31/10/2014","0,8410","0,8570","0,8750","0,8330","-0,59%"
"30/10/2014","0,8460","0,8970","0,9030","0,8320","-5,58%"
"29/10/2014","0,8960","0,8750","0,8970","0,8670","2,28%"
"28/10/2014","0,8760","0,8750","0,9020","0,8610","0,92%"
"27/10/2014","0,8680","0,8970","0,9130","0,8610","-2,25%"
"24/10/2014","0,8880","0,8880","0,8940","0,8590","-0,67%"
"23/10/2014","0,8940","0,8520","0,9000","0,8410","3,00%"
"22/10/2014","0,8680","0,8660","0,8930","0,8480","-0,80%"
"21/10/2014","0,8750","0,8360","0,8920","0,8240","2,46%"
"20/10/2014","0,8540","0,8580","0,8620","0,8230","-1,27%"
"17/10/2014","0,8650","0,8160","0,8730","0,8110","4,85%"
"16/10/2014","0,8250","0,7780","0,8380","0,7160","7,56%"
"15/10/2014","0,7670","0,8420","0,8450","0,7240","-8,69%"
"14/10/2014","0,8400","0,8910","0,9020","0,8370","-6,04%"
"13/10/2014","0,8940","0,8650","0,9040","0,8650","0,11%"
"10/10/2014","0,8930","0,8970","0,9200","0,8780","-1,00%"
"09/10/2014","0,9020","0,8930","0,9060","0,8590","-0,22%"
"08/10/2014","0,9040","0,9040","0,9080","0,8850","-0,33%"
"07/10/2014","0,9070","0,9000","0,9290","0,8920","-0,22%"
"06/10/2014","0,9090","0,9220","0,9220","0,9020","-2,47%"
"03/10/2014","0,9320","0,9250","0,9500","0,9190","1,97%"
"02/10/2014","0,9140","0,8990","0,9360","0,8970","0,88%"
"01/10/2014","0,9060","0,9490","0,9550","0,8970","-4,23%"
"30/09/2014","0,9460","0,9670","0,9820","0,9430","-1,97%"
"29/09/2014","0,9650","0,9680","0,9890","0,9510","-0,72%"
"27/09/2014","0,9720","0,9720","0,9720","0,9720","0,41%"
"26/09/2014","0,9680","0,9610","0,9850","0,9500","-1,12%"
"25/09/2014","0,9790","1,0130","1,0150","0,9680","-3,07%"
"24/09/2014","1,0100","1,0120","1,0250","0,9930","-0,20%"
"23/09/2014","1,0120","1,0130","1,0220","1,0100","-0,69%"
"22/09/2014","1,0190","1,0200","1,0390","1,0170","-2,39%"
"19/09/2014","1,0440","1,0970","1,1130","1,0400","-3,78%"
"18/09/2014","1,0850","1,0740","1,1040","1,0450","2,84%"
"17/09/2014","1,0550","1,0680","1,0790","1,0450","-0,94%"
"16/09/2014","1,0650","1,0580","1,0690","1,0310","-0,37%"
"15/09/2014","1,0690","1,0860","1,0970","1,0510","-1,84%"
"13/09/2014","1,0890","1,0890","1,0890","1,0890","0,28%"
"12/09/2014","1,0860","1,0540","1,0990","1,0540","8,17%"
"11/09/2014","1,0040","1,0030","1,0100","0,9730","0,40%"
"10/09/2014","1,0000","1,0030","1,0320","0,9960","-0,20%"
"09/09/2014","1,0020","0,9820","1,0190","0,9760","6,14%"
"08/09/2014","0,9440","0,9420","0,9470","0,9180","1,07%"
"05/09/2014","0,9340","0,9730","0,9800","0,9310","-3,21%"
"04/09/2014","0,9650","0,9460","0,9830","0,9030","0,84%"
"03/09/2014","0,9570","0,9350","0,9710","0,9270","2,90%"
"02/09/2014","0,9300","0,8900","0,9450","0,8870","5,20%"
"01/09/2014","0,8840","0,8920","0,8970","0,8800","-0,11%"
"31/08/2014","0,8850","0,8850","0,8850","0,8850","-0,34%"
"29/08/2014","0,8880","0,8760","0,9100","0,8730","0,57%"
"28/08/2014","0,8830","0,9010","0,9150","0,8680","-2,75%"
"27/08/2014","0,9080","0,9360","0,9400","0,8960","-3,81%"
"26/08/2014","0,9440","0,9420","0,9530","0,9320","-1,05%"
"25/08/2014","0,9540","0,9920","0,9920","0,9260","-3,34%"
"22/08/2014","0,9870","0,9910","1,0050","0,9640","-0,90%"
"21/08/2014","0,9960","1,0000","1,0130","0,9800","1,01%"
"20/08/2014","0,9860","1,0030","1,0140","0,9800","-1,79%"
"19/08/2014","1,0040","1,0210","1,0220","0,9880","-0,89%"
"18/08/2014","1,0130","0,9900","1,0180","0,9860","4,65%"
"15/08/2014","0,9680","1,0180","1,0210","0,9600","-4,72%"
"14/08/2014","1,0160","1,0220","1,0250","1,0000","-1,26%"
"13/08/2014","1,0290","1,0730","1,0870","1,0270","-3,11%"
"12/08/2014","1,0620","1,0690","1,0720","1,0480","-0,28%"
"11/08/2014","1,0650","1,0740","1,0770","1,0490","1,24%"
"10/08/2014","1,0520","1,0520","1,0520","1,0520","-0,09%"
"08/08/2014","1,0530","1,0400","1,0660","1,0230","-1,59%"
"07/08/2014","1,0700","1,1010","1,1040","1,0690","-3,08%"
"06/08/2014","1,1040","1,1550","1,1590","1,0960","-6,12%"
"05/08/2014","1,1760","1,1390","1,1860","1,1340","3,52%"
"04/08/2014","1,1360","1,1380","1,1470","1,1270","0,71%"
"02/08/2014","1,1280","1,1280","1,1280","1,1280","-1,05%"
"01/08/2014","1,1400","1,1720","1,1950","1,1340","-2,56%"
"31/07/2014","1,1700","1,1690","1,2000","1,1490","0,26%"
"30/07/2014","1,1670","1,1220","1,1690","1,1160","4,20%"
"29/07/2014","1,1200","1,1540","1,1570","1,1110","-2,69%"
"28/07/2014","1,1510","1,1490","1,1670","1,1350","0,26%"
"27/07/2014","1,1480","1,1480","1,1480","1,1480","0,17%"
"25/07/2014","1,1460","1,1720","1,1860","1,1430","-2,80%"
"24/07/2014","1,1790","1,1500","1,1880","1,1410","2,70%"
"23/07/2014","1,1480","1,1630","1,1750","1,1390","-2,30%"
"22/07/2014","1,1750","1,1530","1,1830","1,1500","2,35%"
"21/07/2014","1,1480","1,1530","1,1610","1,1390","-1,46%"
"20/07/2014","1,1650","1,1650","1,1650","1,1650","0,43%"
"18/07/2014","1,1600","1,1510","1,1650","1,1360","0,17%"
"17/07/2014","1,1580","1,1810","1,1880","1,1520","-3,18%"
"16/07/2014","1,1960","1,2160","1,2160","1,1900","-1,16%"
"15/07/2014","1,2100","1,2070","1,2210","1,1840","-0,08%"
"14/07/2014","1,2110","1,2170","1,2180","1,2020","0,50%"
"12/07/2014","1,2050","1,2050","1,2050","1,2050","0,08%"
"11/07/2014","1,2040","1,2030","1,2230","1,1960","0,25%"
"10/07/2014","1,2010","1,2160","1,2160","1,1680","-2,44%"
"09/07/2014","1,2310","1,2220","1,2340","1,2110","0,57%"
"08/07/2014","1,2240","1,2650","1,2680","1,2210","-2,70%"
"07/07/2014","1,2580","1,2670","1,2770","1,2540","-0,63%"
"04/07/2014","1,2660","1,2920","1,2930","1,2520","-2,31%"
"03/07/2014","1,2960","1,2890","1,3340","1,2880","0,93%"
"02/07/2014","1,2840","1,2540","1,2870","1,2360","2,88%"
"01/07/2014","1,2480","1,2560","1,2650","1,2390","-0,24%"
"30/06/2014","1,2510","1,2630","1,2710","1,2420","-0,95%"
"27/06/2014","1,2630","1,2430","1,2660","1,2410","1,69%"
"26/06/2014","1,2420","1,2690","1,2760","1,2380","-1,90%"
"25/06/2014","1,2660","1,3080","1,3170","1,2600","-4,16%"
"24/06/2014","1,3210","1,3300","1,3340","1,3120","-0,30%"
"23/06/2014","1,3250","1,3470","1,3570","1,3110","-1,78%"
"20/06/2014","1,3490","1,3290","1,3620","1,3270","1,43%"
"19/06/2014","1,3300","1,3490","1,3540","1,3060","-3,48%"
"18/06/2014","1,3780","1,4040","1,4190","1,3700","-1,85%"
"17/06/2014","1,4040","1,3560","1,4090","1,3520","3,69%"
"16/06/2014","1,3540","1,3620","1,3650","1,3430","-1,24%"
"13/06/2014","1,3710","1,3810","1,4150","1,3570","-1,22%"
