"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation %"
"29/10/2025","2,6171","2,6264","2,6264","2,6148","-0,16%"
"28/10/2025","2,6212","2,6140","2,6210","2,6030","0,17%"
"27/10/2025","2,6167","2,6320","2,6450","2,6160","-0,29%"
"24/10/2025","2,6242","2,5850","2,6320","2,5720","1,80%"
"23/10/2025","2,5779","2,5660","2,5820","2,5650","0,73%"
"22/10/2025","2,5592","2,5580","2,5690","2,5400","0,33%"
"21/10/2025","2,5508","2,5770","2,5820","2,5490","-1,28%"
"20/10/2025","2,5839","2,5920","2,5990","2,5750","0,21%"
"17/10/2025","2,5784","2,5760","2,5870","2,5230","0,35%"
"16/10/2025","2,5694","2,5780","2,5860","2,5630","0,45%"
"15/10/2025","2,5580","2,6040","2,6040","2,5570","-1,88%"
"14/10/2025","2,6071","2,6370","2,6370","2,5870","-0,87%"
"13/10/2025","2,6301","2,6530","2,6560","2,6220","-0,15%"
"10/10/2025","2,6340","2,6980","2,6980","2,6320","-2,59%"
"09/10/2025","2,7040","2,6830","2,7060","2,6770","1,01%"
"08/10/2025","2,6769","2,7140","2,7150","2,6660","-1,25%"
"07/10/2025","2,7107","2,7190","2,7430","2,7110","-0,25%"
"06/10/2025","2,7174","2,7050","2,7340","2,6940","0,64%"
"03/10/2025","2,7000","2,7030","2,7070","2,6900","0,08%"
"02/10/2025","2,6978","2,7170","2,7280","2,6960","-0,57%"
"01/10/2025","2,7134","2,7160","2,7430","2,6930","0,05%"
"30/09/2025","2,7120","2,7080","2,7240","2,6930","0,21%"
"29/09/2025","2,7062","2,7410","2,7440","2,7060","-1,42%"
"26/09/2025","2,7451","2,7740","2,7790","2,7280","-0,97%"
"25/09/2025","2,7721","2,7480","2,7780","2,7320","0,90%"
"24/09/2025","2,7474","2,7400","2,7540","2,7300","-0,17%"
"23/09/2025","2,7520","2,7530","2,7530","2,7300","0,14%"
"22/09/2025","2,7481","2,7620","2,7620","2,7290","-0,01%"
"19/09/2025","2,7485","2,7300","2,7510","2,7260","1,20%"
"18/09/2025","2,7160","2,6840","2,7240","2,6660","1,48%"
"17/09/2025","2,6763","2,6920","2,6940","2,6640","-0,68%"
"16/09/2025","2,6945","2,6970","2,7160","2,6800","-0,05%"
"15/09/2025","2,6959","2,7050","2,7090","2,6870","-0,64%"
"12/09/2025","2,7133","2,6600","2,7150","2,6603","2,37%"
"11/09/2025","2,6505","2,6500","2,6840","2,6360","-0,13%"
"10/09/2025","2,6539","2,6530","2,6710","2,6360","-0,39%"
"09/09/2025","2,6644","2,6550","2,6730","2,6500","0,97%"
