"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation %"
"31/12/2014","1,881","1,889","1,889","1,880","0,11%"
"30/12/2014","1,879","1,879","1,879","1,879","-5,15%"
"29/12/2014","1,981","1,981","1,981","1,981","2,22%"
"28/12/2014","1,938","1,938","1,938","1,938","0,00%"
"27/12/2014","1,938","1,935","1,952","1,935","-0,51%"
"24/12/2014","1,948","1,948","1,948","1,948","0,78%"
"23/12/2014","1,933","1,933","1,933","1,933","-0,31%"
"22/12/2014","1,939","1,939","1,939","1,939","-0,87%"
"19/12/2014","1,956","1,956","1,956","1,956","-1,01%"
"18/12/2014","1,976","1,976","1,976","1,976","0,10%"
"17/12/2014","1,974","1,974","1,974","1,974","-2,08%"
"16/12/2014","2,016","2,016","2,016","2,016","1,05%"
"15/12/2014","1,995","1,995","1,995","1,995","-3,53%"
"14/12/2014","2,068","2,068","2,068","2,068","0,00%"
"13/12/2014","2,068","2,068","2,068","2,065","0,34%"
"12/12/2014","2,061","2,061","2,061","2,061","-0,05%"
"11/12/2014","2,062","2,062","2,062","2,062","1,68%"
"10/12/2014","2,028","2,028","2,028","2,028","0,20%"
"09/12/2014","2,024","2,024","2,024","2,024","3,37%"
"08/12/2014","1,958","1,958","1,958","1,958","0,36%"
"05/12/2014","1,951","1,951","1,951","1,951","-3,56%"
"04/12/2014","2,023","2,023","2,023","2,023","1,66%"
"03/12/2014","1,990","1,990","1,990","1,990","-1,19%"
"02/12/2014","2,014","2,014","2,014","2,014","-0,05%"
"01/12/2014","2,015","2,015","2,015","2,015","-0,98%"
"30/11/2014","2,035","2,035","2,035","2,035","-0,54%"
"28/11/2014","2,046","2,046","2,046","2,046","-1,02%"
"27/11/2014","2,067","2,067","2,067","2,067","-4,26%"
"26/11/2014","2,159","2,159","2,159","2,159","0,75%"
"25/11/2014","2,143","2,143","2,143","2,143","-1,70%"
"24/11/2014","2,180","2,180","2,180","2,180","-1,54%"
"22/11/2014","2,214","2,214","2,218","2,212","-0,05%"
"21/11/2014","2,215","2,215","2,215","2,215","-3,23%"
"20/11/2014","2,289","2,289","2,289","2,289","-1,46%"
"19/11/2014","2,323","2,323","2,323","2,323","0,61%"
"18/11/2014","2,309","2,309","2,309","2,309","0,65%"
"17/11/2014","2,294","2,294","2,294","2,294","-2,01%"
"16/11/2014","2,341","2,341","2,341","2,341","0,00%"
"15/11/2014","2,341","2,335","2,345","2,335","-0,21%"
"14/11/2014","2,346","2,346","2,346","2,346","-0,30%"
"13/11/2014","2,353","2,353","2,353","2,353","0,34%"
"12/11/2014","2,345","2,345","2,345","2,345","0,99%"
"11/11/2014","2,322","2,322","2,322","2,322","-0,90%"
"10/11/2014","2,343","2,343","2,343","2,343","-1,31%"
"08/11/2014","2,374","2,376","2,379","2,374","-0,34%"
"07/11/2014","2,382","2,382","2,382","2,382","0,93%"
"06/11/2014","2,360","2,360","2,360","2,360","-2,68%"
"05/11/2014","2,425","2,425","2,425","2,425","0,04%"
"04/11/2014","2,424","2,424","2,424","2,424","0,37%"
"03/11/2014","2,415","2,415","2,415","2,415","2,37%"
"01/11/2014","2,359","2,351","2,359","2,349","-0,80%"
"31/10/2014","2,378","2,378","2,378","2,378","-3,61%"
"30/10/2014","2,467","2,467","2,467","2,467","-1,48%"
"29/10/2014","2,504","2,504","2,504","2,504","-0,99%"
"28/10/2014","2,529","2,529","2,529","2,529","-0,75%"
"27/10/2014","2,548","2,548","2,548","2,548","1,51%"
"24/10/2014","2,510","2,510","2,510","2,510","0,04%"
"23/10/2014","2,509","2,509","2,509","2,509","0,44%"
"22/10/2014","2,498","2,498","2,498","2,498","-0,91%"
"21/10/2014","2,521","2,521","2,521","2,521","-2,29%"
"20/10/2014","2,580","2,580","2,580","2,580","3,61%"
"18/10/2014","2,490","2,496","2,496","2,490","0,16%"
"17/10/2014","2,486","2,486","2,486","2,486","-3,23%"
"16/10/2014","2,569","2,569","2,569","2,569","7,13%"
"15/10/2014","2,398","2,398","2,398","2,398","3,85%"
"14/10/2014","2,309","2,309","2,309","2,309","-0,82%"
"13/10/2014","2,328","2,328","2,328","2,328","0,13%"
"11/10/2014","2,325","2,324","2,325","2,324","0,26%"
"10/10/2014","2,319","2,319","2,319","2,319","1,09%"
"09/10/2014","2,294","2,294","2,294","2,294","-2,13%"
"08/10/2014","2,344","2,344","2,344","2,344","-0,04%"
"07/10/2014","2,345","2,345","2,345","2,345","0,43%"
"06/10/2014","2,335","2,335","2,335","2,335","0,99%"
"05/10/2014","2,312","2,310","2,313","2,310","0,04%"
"04/10/2014","2,311","2,310","2,315","2,310","-1,07%"
"03/10/2014","2,336","2,336","2,336","2,336","-0,30%"
"02/10/2014","2,343","2,343","2,343","2,343","2,36%"
"01/10/2014","2,289","2,289","2,289","2,289","-3,21%"
"30/09/2014","2,365","2,365","2,365","2,365","-2,03%"
"29/09/2014","2,414","2,414","2,414","2,414","1,17%"
"27/09/2014","2,386","2,433","2,433","2,382","0,21%"
"26/09/2014","2,381","2,381","2,381","2,381","1,19%"
"25/09/2014","2,353","2,353","2,353","2,353","-0,76%"
"24/09/2014","2,371","2,371","2,371","2,371","-1,25%"
"23/09/2014","2,401","2,401","2,401","2,401","1,09%"
"22/09/2014","2,375","2,375","2,375","2,375","-0,08%"
"21/09/2014","2,377","2,370","2,380","2,364","0,34%"
"20/09/2014","2,369","2,369","2,374","2,369","-0,29%"
"19/09/2014","2,376","2,376","2,376","2,376","-2,94%"
"18/09/2014","2,448","2,448","2,448","2,448","1,20%"
"17/09/2014","2,419","2,419","2,419","2,419","-2,38%"
"16/09/2014","2,478","2,478","2,478","2,478","0,77%"
"15/09/2014","2,459","2,459","2,459","2,459","-0,24%"
"13/09/2014","2,465","2,465","2,465","2,465","-0,36%"
"12/09/2014","2,474","2,474","2,474","2,474","0,65%"
"11/09/2014","2,458","2,458","2,458","2,458","1,82%"
"10/09/2014","2,414","2,414","2,414","2,414","1,86%"
"09/09/2014","2,370","2,370","2,370","2,370","3,54%"
"08/09/2014","2,289","2,289","2,289","2,289","1,28%"
"07/09/2014","2,260","2,255","2,263","2,255","0,22%"
"06/09/2014","2,255","2,255","2,267","2,253","-0,79%"
"05/09/2014","2,273","2,273","2,273","2,273","-4,17%"
"04/09/2014","2,372","2,372","2,372","2,372","-3,73%"
"03/09/2014","2,464","2,464","2,464","2,464","0,08%"
"02/09/2014","2,462","2,462","2,462","2,462","1,57%"
"01/09/2014","2,424","2,424","2,424","2,424","-0,74%"
"31/08/2014","2,442","2,437","2,442","2,437","0,21%"
"30/08/2014","2,437","2,435","2,443","2,435","0,08%"
"29/08/2014","2,435","2,435","2,435","2,435","-0,16%"
"28/08/2014","2,439","2,439","2,439","2,439","2,39%"
"27/08/2014","2,382","2,382","2,382","2,382","-2,02%"
"26/08/2014","2,431","2,431","2,431","2,431","-1,50%"
"25/08/2014","2,468","2,468","2,468","2,468","-4,08%"
"23/08/2014","2,573","2,579","2,583","2,572","-0,46%"
"22/08/2014","2,585","2,585","2,585","2,585","0,58%"
"21/08/2014","2,570","2,570","2,570","2,570","-0,81%"
"20/08/2014","2,591","2,591","2,591","2,591","-0,23%"
"19/08/2014","2,597","2,597","2,597","2,597","-1,59%"
"18/08/2014","2,639","2,639","2,639","2,639","1,34%"
"17/08/2014","2,604","2,607","2,610","2,604","-0,12%"
"16/08/2014","2,607","2,607","2,610","2,596","0,00%"
"15/08/2014","2,607","2,667","2,668","2,577","-2,40%"
"14/08/2014","2,671","2,671","2,671","2,671","-2,41%"
"13/08/2014","2,737","2,737","2,737","2,737","0,04%"
"12/08/2014","2,736","2,736","2,736","2,736","-1,97%"
"11/08/2014","2,791","2,791","2,791","2,791","-1,31%"
"10/08/2014","2,828","2,828","2,828","2,828","0,00%"
"09/08/2014","2,828","2,820","2,829","2,820","-0,35%"
