date	pays	taux
1994-01-03	france	NA
1994-01-03	germany	5.527
1994-01-03	italy	NA
1994-01-04	france	NA
1994-01-04	germany	5.539
1994-01-04	italy	NA
1994-01-05	france	NA
1994-01-05	germany	5.564
1994-01-05	italy	NA
1994-01-06	france	NA
1994-01-06	germany	5.612
1994-01-06	italy	NA
1994-01-07	france	NA
1994-01-07	germany	5.585
1994-01-07	italy	NA
1994-01-10	france	NA
1994-01-10	germany	5.585
1994-01-10	italy	NA
1994-01-11	france	NA
1994-01-11	germany	5.57
1994-01-11	italy	NA
1994-01-12	france	NA
1994-01-12	germany	5.569
1994-01-12	italy	NA
1994-01-13	france	NA
1994-01-13	germany	5.554
1994-01-13	italy	NA
1994-01-14	france	NA
1994-01-14	germany	5.583
1994-01-14	italy	NA
1994-01-17	france	NA
1994-01-17	germany	5.601
1994-01-17	italy	NA
1994-01-18	france	NA
1994-01-18	germany	5.584
1994-01-18	italy	NA
1994-01-19	france	NA
1994-01-19	germany	5.596
1994-01-19	italy	NA
1994-01-20	france	NA
1994-01-20	germany	5.63
1994-01-20	italy	NA
1994-01-21	france	NA
1994-01-21	germany	5.643
1994-01-21	italy	NA
1994-01-24	france	NA
1994-01-24	germany	5.727
1994-01-24	italy	NA
1994-01-25	france	NA
1994-01-25	germany	5.724
1994-01-25	italy	NA
1994-01-26	france	NA
1994-01-26	germany	5.721
1994-01-26	italy	NA
1994-01-27	france	NA
1994-01-27	germany	5.732
1994-01-27	italy	NA
1994-01-28	france	NA
1994-01-28	germany	5.708
1994-01-28	italy	NA
1994-01-31	france	NA
1994-01-31	germany	5.682
1994-01-31	italy	NA
1994-02-01	france	NA
1994-02-01	germany	5.683
1994-02-01	italy	NA
1994-02-02	france	NA
1994-02-02	germany	5.687
1994-02-02	italy	NA
1994-02-03	france	NA
1994-02-03	germany	5.703
1994-02-03	italy	NA
1994-02-04	france	NA
1994-02-04	germany	5.774
1994-02-04	italy	NA
1994-02-07	france	NA
1994-02-07	germany	5.778
1994-02-07	italy	NA
1994-02-08	france	NA
1994-02-08	germany	5.789
1994-02-08	italy	NA
1994-02-09	france	NA
1994-02-09	germany	5.881
1994-02-09	italy	NA
1994-02-10	france	NA
1994-02-10	germany	5.8
1994-02-10	italy	NA
1994-02-11	france	NA
1994-02-11	germany	5.783
1994-02-11	italy	NA
1994-02-14	france	NA
1994-02-14	germany	5.791
1994-02-14	italy	NA
1994-02-15	france	NA
1994-02-15	germany	5.835
1994-02-15	italy	NA
1994-02-16	france	NA
1994-02-16	germany	5.887
1994-02-16	italy	NA
1994-02-17	france	NA
1994-02-17	germany	5.885
1994-02-17	italy	NA
1994-02-18	france	NA
1994-02-18	germany	5.938
1994-02-18	italy	NA
1994-02-21	france	NA
1994-02-21	germany	6.027
1994-02-21	italy	NA
1994-02-22	france	NA
1994-02-22	germany	5.967
1994-02-22	italy	NA
1994-02-23	france	NA
1994-02-23	germany	5.967
1994-02-23	italy	NA
1994-02-24	france	NA
1994-02-24	germany	6.093
1994-02-24	italy	NA
1994-02-25	france	NA
1994-02-25	germany	6.164
1994-02-25	italy	NA
1994-02-28	france	NA
1994-02-28	germany	6.099
1994-02-28	italy	NA
1994-03-01	france	NA
1994-03-01	germany	6.22
1994-03-01	italy	NA
1994-03-03	france	NA
1994-03-03	germany	6.23
1994-03-03	italy	NA
1994-03-04	france	NA
1994-03-04	germany	6.2
1994-03-04	italy	NA
1994-03-07	france	NA
1994-03-07	germany	6.092
1994-03-07	italy	NA
1994-03-08	france	NA
1994-03-08	germany	6.233
1994-03-08	italy	NA
1994-03-09	france	NA
1994-03-09	germany	6.4
1994-03-09	italy	NA
1994-03-14	france	NA
1994-03-14	germany	6.32
1994-03-14	italy	NA
1994-03-15	france	NA
1994-03-15	germany	6.255
1994-03-15	italy	NA
1994-03-16	france	NA
1994-03-16	germany	6.232
1994-03-16	italy	NA
1994-03-17	france	NA
1994-03-17	germany	6.27
1994-03-17	italy	NA
1994-03-18	france	NA
1994-03-18	germany	6.387
1994-03-18	italy	NA
1994-03-21	france	NA
1994-03-21	germany	6.447
1994-03-21	italy	NA
1994-03-22	france	NA
1994-03-22	germany	6.364
1994-03-22	italy	NA
1994-03-23	france	NA
1994-03-23	germany	6.371
1994-03-23	italy	NA
1994-03-24	france	NA
1994-03-24	germany	6.275
1994-03-24	italy	NA
1994-03-25	france	NA
1994-03-25	germany	6.403
1994-03-25	italy	NA
1994-03-28	france	NA
1994-03-28	germany	6.359
1994-03-28	italy	NA
1994-03-29	france	NA
1994-03-29	germany	6.398
1994-03-29	italy	NA
1994-03-30	france	NA
1994-03-30	germany	6.359
1994-03-30	italy	NA
1994-03-31	france	NA
1994-03-31	germany	6.323
1994-03-31	italy	NA
1994-04-05	france	NA
1994-04-05	germany	6.328
1994-04-05	italy	NA
1994-04-06	france	NA
1994-04-06	germany	6.306
1994-04-06	italy	NA
1994-04-07	france	NA
1994-04-07	germany	6.289
1994-04-07	italy	NA
1994-04-08	france	NA
1994-04-08	germany	6.301
1994-04-08	italy	NA
1994-04-11	france	NA
1994-04-11	germany	6.255
1994-04-11	italy	NA
1994-04-12	france	NA
1994-04-12	germany	6.261
1994-04-12	italy	NA
1994-04-13	france	NA
1994-04-13	germany	6.308
1994-04-13	italy	NA
1994-04-14	france	NA
1994-04-14	germany	6.303
1994-04-14	italy	NA
1994-04-15	france	NA
1994-04-15	germany	6.355
1994-04-15	italy	NA
1994-04-18	france	NA
1994-04-18	germany	6.474
1994-04-18	italy	NA
1994-04-19	france	NA
1994-04-19	germany	6.561
1994-04-19	italy	NA
1994-04-20	france	NA
1994-04-20	germany	6.647
1994-04-20	italy	NA
1994-04-25	france	NA
1994-04-25	germany	6.735
1994-04-25	italy	NA
1994-04-26	france	NA
1994-04-26	germany	6.642
1994-04-26	italy	NA
1994-04-27	france	NA
1994-04-27	germany	6.556
1994-04-27	italy	NA
1994-04-28	france	NA
1994-04-28	germany	6.592
1994-04-28	italy	NA
1994-04-29	france	NA
1994-04-29	germany	6.535
1994-04-29	italy	NA
1994-05-02	france	NA
1994-05-02	germany	6.556
1994-05-02	italy	NA
1994-05-03	france	NA
1994-05-03	germany	6.579
1994-05-03	italy	NA
1994-05-04	france	NA
1994-05-04	germany	6.672
1994-05-04	italy	NA
1994-05-05	france	NA
1994-05-05	germany	6.681
1994-05-05	italy	NA
1994-05-06	france	NA
1994-05-06	germany	6.676
1994-05-06	italy	NA
1994-05-09	france	NA
1994-05-09	germany	6.745
1994-05-09	italy	NA
1994-05-10	france	NA
1994-05-10	germany	6.594
1994-05-10	italy	NA
1994-05-11	france	NA
1994-05-11	germany	6.616
1994-05-11	italy	NA
1994-05-13	france	NA
1994-05-13	germany	6.59
1994-05-13	italy	NA
1994-05-16	france	NA
1994-05-16	germany	6.514
1994-05-16	italy	NA
1994-05-17	france	NA
1994-05-17	germany	6.529
1994-05-17	italy	NA
